Date,SPX_Returns,VIX_Returns_lag2,M2_Money_Supply_return_lag2,weighted_sentiment_vader_lag5
2020-04-07,-0.001604339048362459,-0.08417617829556022,2.9346348615971376,-0.09255875753001712
2020-04-08,0.033489371191284686,-0.03390149827216874,2.9346348615971376,3.8870052870887775
2020-04-09,0.014383470303699339,0.031762492662577586,2.9346348615971376,0.7384101142247652
2020-04-13,-0.01015605944467711,-0.07443751298438658,2.9346348615971376,2.3508779775871105
2020-04-20,-0.018042845615347775,-0.018036302033797233,2.9346348615971376,-1.2214639615827356
2020-04-22,0.02267130058213675,0.13879275847971348,2.9346348615971376,0.266168517335019
2020-04-27,0.014606868181735996,-0.014395605358408076,2.9346348615971376,0.2803201103436421
2020-04-28,-0.005256170190483643,-0.14122508851070348,2.9346348615971376,-0.10635400461092641
2020-04-30,-0.009255143319054839,0.008375722812708732,2.9346348615971376,-3.263217220375735
2020-05-06,-0.007003880399042588,-0.033354579366393695,2.9346348615971376,1.3375059943243817
2020-05-07,0.011438955754890805,-0.06786163174739818,2.9346348615971376,0.8822370335769266
2020-05-08,0.016730795065226244,0.015060031421976575,2.9346348615971376,1.5500667237462062
2020-05-11,0.0001330693667907644,-0.08180270677123987,2.9346348615971376,-4.8352726287871945
2020-05-12,-0.020713365772047604,-0.11659103167062464,2.9346348615971376,-0.8015828595262542
2020-05-19,-0.010539747711599283,-0.02232654663523837,2.9346348615971376,0.0
2020-05-27,0.014718447490314346,-0.04750419313706584,2.9346348615971376,1.7845633752043257
2020-05-28,-0.0021101393249195488,-0.005340928427787514,2.9346348615971376,2.8523670607099745
2020-05-29,0.004800793552307952,-0.014021419077315366,2.9346348615971376,1.5641692792629636
2020-06-02,0.008177307282398658,-0.03850742841489395,2.9346348615971376,1.1165307494300363
2020-06-03,0.01355667081256392,0.025835642793460543,2.9346348615971376,0.0
2020-06-10,-0.005327255735182077,0.05127286330163285,2.9346348615971376,1.6146607835489157
2020-06-12,0.012976286605211731,0.0,2.9346348615971376,3.2721488822288856
2020-06-15,0.00827786081817526,0.39170876180778363,2.9346348615971376,0.0
2020-06-18,0.0005940434038017573,-0.02144942994569364,2.9346348615971376,2.1556502140955383
2020-06-22,0.006474093296658384,-0.01596186863598208,2.9346348615971376,3.8588131676729858
2020-06-24,-0.0261952655956623,-0.10024827566350966,2.9346348615971376,-0.29473089190323787
2020-06-29,0.01457888811353358,-0.04905612361179041,2.9346348615971376,1.2526255272474602
2020-06-30,0.015292349435755562,0.07501643794001076,2.9346348615971376,-1.0316779683447395
2020-07-01,0.005009563975870565,-0.08876667086055672,2.9346348615971376,-1.2936661940145298
2020-07-02,0.0045309704768169146,-0.04340820877712465,2.9346348615971376,0.22945262428155255
2020-07-10,0.010411809774443004,-0.046956996174339266,2.039402464746525,4.5749689683447405
2020-07-13,-0.009406645216058874,0.04116382697373443,2.039402464746525,1.4347593919742443
2020-07-15,0.009041056936355048,0.16513543438034217,2.039402464746525,2.5448429829479937
2020-07-16,-0.0034119152141152374,-0.08658778740950648,2.039402464746525,4.194639258336739
